歌曲ID,歌曲名称,歌手演唱者,角色,专辑名称,发行日期,歌曲类型,作词,作曲,编曲,专辑封面URL,备注
1,ありったけの輝きで,櫻木真乃,櫻木真乃,COLORFUL FE@THERS -Stella-,2021/1/20,个人曲,こだまさおり,羊,,,
2,星をめざして,芹沢あさひ,芹沢あさひ,COLORFUL FE@THERS -Stella-,2021/1/20,个人曲,下地悠,三好啓太,,,
3,夢見鳥,樋口円香,樋口円香,COLORFUL FE@THERS -Stella-,2021/1/20,个人曲,秋浦智裕(onetrap),家原正樹、Jam9,家原正樹,,
4,アポイント・シグナル,月岡恋鐘,月岡恋鐘,COLORFUL FE@THERS -Stella-,2021/1/20,个人曲,真崎エリカ,本田正樹(Dream Monster),,,
5,チョコデート・サンデー,園田智代子,園田智代子,COLORFUL FE@THERS -Stella-,2021/1/20,个人曲,児玉雨子,中野領太,,,
6,Sweet Memories,大崎甘奈,大崎甘奈,COLORFUL FE@THERS -Stella-,2021/1/20,个人曲,鈴木静那,h-wonder,,,
7,ハナマルバッジ,小宮果穂,小宮果穂,COLORFUL FE@THERS -Stella-,2021/1/20,个人曲,古屋真,小久保祐希、YUU for YOU,YUU for YOU,,
8,誰ソ彼アイデンティティー,田中摩美々,田中摩美々,COLORFUL FE@THERS -Luna-,2021/2/17,个人曲,松井洋平,高尾奏之介,,,
9,わたしの主人公はわたしだから！,福丸小糸,福丸小糸,COLORFUL FE@THERS -Luna-,2021/2/17,个人曲,秋浦智裕(onetrap),本多友紀(Arte Refact),矢鴇つかさ(Arte Refact),,
10,また明日,大崎甜花,大崎甜花,COLORFUL FE@THERS -Luna-,2021/2/17,个人曲,鈴木静那,JUVENILE,,,
11,常咲の庭,杜野凛世,杜野凛世,COLORFUL FE@THERS -Luna-,2021/2/17,个人曲,古屋真,田熊知存(Dream Monster),,,
12,プラスチック・アンブレラ,三峰結華,三峰結華,COLORFUL FE@THERS -Luna-,2021/2/17,个人曲,児玉雨子,矢吹香那,前口ワタル,,
13,Going my way,和泉愛依,和泉愛依,COLORFUL FE@THERS -Luna-,2021/2/17,个人曲,下地悠,渡辺徹,日比野裕史,,
14,雪・月・風・花,幽谷霧子,幽谷霧子,COLORFUL FE@THERS -Luna-,2021/2/17,个人曲,真崎エリカ,rionos,,,
15,スローモーション,風野灯織,風野灯織,COLORFUL FE@THERS -Sol-,2021/3/10,个人曲,中村彼方,岩越涼大,三好啓太,,
16,千夜アリア,白瀬咲耶,白瀬咲耶,COLORFUL FE@THERS -Sol-,2021/3/10,个人曲,真崎エリカ,藤井健太郎(HANO)、谷ナオキ(HANO),,,
17,Damascus Cocktail,有栖川夏葉,有栖川夏葉,COLORFUL FE@THERS -Sol-,2021/3/10,个人曲,古屋真,陶山隼,,,
18,Darling you!,桑山千雪,桑山千雪,COLORFUL FE@THERS -Sol-,2021/3/10,个人曲,鈴木静那,南直博,,,
19,あおぞらサイダー,市川雛菜,市川雛菜,COLORFUL FE@THERS -Sol-,2021/3/10,个人曲,秋浦智裕(onetrap),小久保祐希、YUU for YOU,YUU for YOU,,
20,SOS,黛冬優子,黛冬優子,COLORFUL FE@THERS -Sol-,2021/3/10,个人曲,下地悠,睦月周平,,,
21,過純性ブリーチ,西城樹里,西城樹里,COLORFUL FE@THERS -Sol-,2021/3/10,个人曲,古屋真,大西克巳,,,
22,HAREBARE!!,八宮めぐる,八宮めぐる,COLORFUL FE@THERS -Sol-,2021/3/10,个人曲,渡邊亜希子,大西克巳,,,
23,statice,浅倉透,浅倉透,COLORFUL FE@THERS -Sol-,2021/3/10,个人曲,秋浦智裕(onetrap),家原正樹、Jam9,家原正樹,,
24,フェアリー・ガール,七草にちか,七草にちか,COLORFUL FE@THERS -SHHis-,2023/7/26,个人曲,深川琴美,佐藤樹,川崎智哉,,
25,Look up to the sky,緋田美琴,緋田美琴,COLORFUL FE@THERS -SHHis-,2023/7/26,个人曲,Co-sho,Stand Alone、小久保祐希、Karen Yamaguchi,Stand Alone,,
26,デビ太郎のうた,大崎甜花,大崎甜花,デビ太郎 VS ジャスティスV,2020/7/29,个人曲,深川琴美,宝野聡史,,,
27,絶対正義 EVERY DAY,小宮果穂,小宮果穂,デビ太郎 VS ジャスティスV,2020/7/29,个人曲,前田甘露,景山将太,,,
28,神様は死んだ、って,斑鳩ルカ,斑鳩ルカ,-,2021/12/19,个人曲,烏屋茶房,水野谷怜(Arte Refact),,,
