歌曲ID,歌曲名称,歌手演唱者,所属组合,专辑名称,发行日期,歌曲类型,作词,作曲,编曲,本地音频URL,专辑封面URL,备注
1,ヒカリのdestination,Illumination STARS,Illumination STARS,BRILLI@NT WING 02 ヒカリのdestination,2018/7/4,组合曲,中村彼方,中野領太,,,,
2,虹になれ,Illumination STARS,Illumination STARS,BRILLI@NT WING 02 ヒカリのdestination,2018/7/4,组合曲,藤末樹,,,,,
3,バベルシティ・グレイス,L'Antica,L'Antica,BRILLI@NT WING 03 バベルシティ・グレイス,2018/8/1,组合曲,真崎エリカ,南田健吾,,,,
4,幻惑SILHOUETTE,L'Antica,L'Antica,BRILLI@NT WING 03 バベルシティ・グレイス,2018/8/1,组合曲,no_my,,,,,
5,夢咲きAfter school,放課後クライマックスガールズ,放課後クライマックスガールズ,BRILLI@NT WING 04 夢咲きAfter school,2018/9/5,组合曲,古屋真,南田健吾,,,,
6,太陽キッス,放課後クライマックスガールズ,放課後クライマックスガールズ,BRILLI@NT WING 04 夢咲きAfter school,2018/9/5,组合曲,no_my,,,,,
7,アルストロメリア,Alstroemeria,Alstroemeria,BRILLI@NT WING 05 アルストロメリア,2018/10/3,组合曲,鈴木静那,森本贵大,,,,
8,ハピリリ,Alstroemeria,Alstroemeria,BRILLI@NT WING 05 アルストロメリア,2018/10/3,组合曲,SHOW,,,,,
9,We can go now!,Illumination STARS,Illumination STARS,FR@GMENT WING 02,2019/5/8,组合曲,中村彼方,大西克巳,,,,
10,トライアングル,Illumination STARS,Illumination STARS,FR@GMENT WING 02,2019/5/8,组合曲,Giz'Mo ArmySlick,ArmySlick,,,,
11,NEO THEORY FANTASY,L'Antica,L'Antica,FR@GMENT WING 03,2019/6/12,组合曲,真崎エリカ,锅谷卓摩,遠藤ナオキ,,,
12,ラビリンス・レジスタンス,L'Antica,L'Antica,FR@GMENT WING 03,2019/6/12,组合曲,家原正树 Lauren Kaori,家原正樹,,,,
13,ビーチブレイバー,放課後クライマックスガールズ,放課後クライマックスガールズ,FR@GMENT WING 04,2019/7/10,组合曲,古屋真,GAKU,渡边彻,,,
14,よりみちサンセット,放課後クライマックスガールズ,放課後クライマックスガールズ,FR@GMENT WING 04,2019/7/10,组合曲,小久保祐希 YUU for YOU,YUU for YOU,,,,
15,Bloomy!,Alstroemeria,Alstroemeria,FR@GMENT WING 05,2019/8/21,组合曲,鈴木静那,北ノ原涼,伊藤立,,,
16,Love Addiction,Alstroemeria,Alstroemeria,FR@GMENT WING 05,2019/8/21,组合曲,家原正树 Jam9,家原正树,森悠也,,,
17,Wandering Dream Chaser,Straylight,Straylight,FR@GMENT WING 06,2019/9/11,组合曲,下地悠,小久保祐希 YUU for YOU,YUU for YOU,,,
18,Transcending The World,Straylight,Straylight,FR@GMENT WING 06,2019/9/11,组合曲,R·O·N,,,,,
19,Twinkle way,Illumination STARS,Illumination STARS,GR@DATE WING 02,2020/10/14,组合曲,渡邊亜希子,锅谷卓摩,伊藤賢,,,
20,Happy Funny Lucky,Illumination STARS,Illumination STARS,GR@DATE WING 02,2020/10/14,组合曲,中野领太,,,,,
21,Black Reverie,L'Antica,L'Antica,GR@DATE WING 03,2020/11/4,组合曲,真崎エリカ,本多友紀,,,,
22,純白トロイメライ,L'Antica,L'Antica,GR@DATE WING 03,2020/11/4,组合曲,原田篤,,,,,
23,五ッ座流星群,放課後クライマックスガールズ,放課後クライマックスガールズ,GR@DATE WING 04,2020/11/18,组合曲,古屋真,三浦誠司,,,,
